epoch,online_sse,sse,w1,w2,bias
1,18.053512674812904,11.461770078573815,0.08160943605658144,-0.24139717562263546,0.29886744172208013
2,10.8010441590819,9.353129389456177,-0.0008433864330223279,-0.31711719778765624,0.2969812952336863
3,9.523605063963581,8.89125880375406,-0.040112226699568175,-0.35165934542480765,0.31730541666876216
4,9.121908892944063,8.6325317220347,-0.062353639226335966,-0.36988218324221256,0.3458781271959197
5,8.843584799807834,8.391063773470517,-0.07782309923675199,-0.38154025465526314,0.37723539426241665
6,8.585447377652137,8.15221606794326,-0.09054130094025395,-0.39046535563654416,0.4092449214770272
7,8.336405907998465,7.918981660926348,-0.10208437777280903,-0.3981666007236004,0.44108056229707276
8,8.096431713739626,7.693654313563368,-0.11307006727866492,-0.4052420530891679,0.47242807889317834
9,7.8659622393298685,7.477089605529846,-0.1237404385071789,-0.41193225101212855,0.503173720811376
10,7.6450214080850705,7.269408781886052,-0.134190375073403,-0.41833726446455943,0.5332821208095373
11,7.433385114649938,7.070427928451658,-0.1444571567652852,-0.42450181849819524,0.5627484232125102
12,7.230726869224348,6.8798496696607545,-0.1545555772919135,-0.4304486838950742,0.5915795192048192
13,7.036687887887579,6.69734160781752,-0.16449170678531586,-0.43619178234529643,0.6197866949774742
14,6.850906508466281,6.522567203750018,-0.17426828117603002,-0.44174133690274164,0.6473827547489923
15,6.6730297370218,6.35519752119323,-0.18388680880954036,-0.44710590273452355,0.6743808982323636
16,6.502717423317046,6.194915404999974,-0.19334839025403222,-0.45229317404218256,0.700794285854191
17,6.339643477734386,6.041416700287754,-0.20265403390621073,-0.4573103105722187,0.7266358734740906
18,6.183495925811725,5.894410330753279,-0.21180477424151647,-0.4621640752433675,0.7519183526112158
19,6.033976521730734,5.753617950447866,-0.22080171300675513,-0.46686089722693447,0.7766541318813288
20,5.89080020804202,5.618773448410729,-0.22964603050710344,-0.47140690533715063,0.8008553344393475
21,5.7536945349257245,5.4896224146190855,-0.2383389854592579,-0.4758079493438336,0.82453380155011
22,5.6223990828357815,5.365921608640665,-0.24688191063765752,-0.48006961613558635,0.8477010984199962
23,5.496664904761574,5.247438446119362,-0.2552762071323688,-0.4841972434713029,0.870368520778332
24,5.376253993427025,5.133950507998872,-0.2635233383094792,-0.4881959324135592,0.8925471016211768
25,5.260938774486635,5.025245073450987,-0.2716248238881429,-0.49207055889172596,0.9142476178920605
26,5.150501625160818,4.921118675999682,-0.27958223428380324,-0.49582578458846366,0.9354805970159521
27,5.044734417181583,4.821376681817431,-0.2873971852640387,-0.4994660672426628,0.9562563232581035
28,4.943438082757975,4.72583288902704,-0.29507133292371046,-0.502995670421569,0.9765848439009308
29,4.84642220226671,4.634309146840243,-0.302606368971106,-0.5064186727981828,0.9964759752403545
30,4.753504612426779,4.546634993413025,-0.31000401631148217,-0.5097389769627034,1.0159393084060704
31,4.66451103378866,4.4626473113622565,-0.3172660249128853,-0.5129603177931635,1.0349842150112678
32,4.579274716443435,4.382189999955289,-0.32439416793904924,-0.5160862704082686,1.053619852637556
33,4.497636102929724,4.305113663049017,-0.3313902381346386,-0.5191202577239405,1.0718551701607983
34,4.419442507384012,4.231275311915547,-0.3382560444487523,-0.522065557633831,1.0896989129234023
35,4.3445478100431885,4.16053808214814,-0.3449934088833054,-0.5249253098329795,1.1071596277583964
36,4.272812166266371,4.092770963893149,-0.35160416355359847,-0.5277025223027809,1.1242456678704233
37,4.204101729296905,4.027848544701904,-0.35809014794905675,-0.5304000774744918,1.1409651975785757
38,4.138288386035121,3.9656507643410013,-0.36445320638276246,-0.5330207380876115,1.1573261969257873
39,4.0752495051384585,3.906062680940596,-0.370695185619012,-0.5355671527586368,1.1733364661593102
40,4.014867696807883,3.84897424789832,-0.37681793266870756,-0.5380418612748933,1.1890036300866278
41,3.9570305836589528,3.7942801009917853,-0.38282329274294197,-0.5404472996273886,1.2043351423109645
42,3.9016305821122073,3.7418793551851923,-0.38871310735565273,-0.542785804795916,1.219338289350401
43,3.848564693771361,3.691675410646003,-0.3944892125667154,-0.545059619298966,1.234020194644434
44,3.7977343062890565,3.6435757675157037,-0.40015343735731107,-0.547270895520349,1.2483878224516691
45,3.749045003249147,3.5974918490048955,-0.4057076021298444,-0.5494216998238288,1.262447981642195
46,3.702406382621406,3.553338832407375,-0.4111535173251084,-0.551514016466483,1.2762073293880392
47,3.657731883369901,3.511035487650477,-0.4164929821497859,-0.5535497513209614,1.2896723747549796
48,3.6149386198196765,3.470504023020202,-0.42172778340775535,-0.5555307354162904,1.3028494821988594
49,3.5739472234083243,3.431669937719386,-0.4268596944290242,-0.5574587283063724,1.3157448749694236
50,3.534681691469458,3.3944618809356633,-0.43189047409044634,-0.5593354212748723,1.3283646384245889
51,3.497069242714268,3.3588115171131787,-0.43682186592270555,-0.561162440384725,1.3407147232579508
52,3.461040179095144,3.3246533971383343,-0.441655597298341,-0.5629413493800861,1.3528009486422026
53,3.426527753752184,3.2919248351647994,-0.4463933786958858,-0.5646736524481445,1.3646290052910803
54,3.3934680447589876,3.260565790817445,-0.4510369030354524,-0.566360796847835,1.376204458442304
55,3.3617998343989997,3.2305187565280558,-0.4555878450813611,-0.5680041754121312,1.3875327507639361
56,3.3314644937173252,3.201728649768284,-0.4600478609076485,-0.5696051289302572,1.398619205186458
57,3.302405872106052,3.1741427099571204,-0.46441858742252246,-0.5711649484158332,1.4094690276627952
58,3.274570191693275,3.147710399831165,-0.4687016419480498,-0.5726848772666621,1.420087309858447
59,3.2479059463174513,3.122383311076592,-0.47289862185156867,-0.5741661133215732,1.4304790317737752
60,3.2223638048796936,3.098115074031394,-0.4770111042255106,-0.5756098108194642,1.440649064300462
61,3.1978965188766586,3.074861271275911,-0.48104064561250726,-0.5770170822654183,1.4506021717140514
62,3.174458833926366,3.052579354938403,-0.48498878177282595,-0.5783890002085283,1.460343014104435
63,3.1520074051084523,3.0312285675506545,-0.4888570274913486,-0.5797265989358177,1.4698761497460735
64,3.130500715948771,3.010769866296571,-0.49264687642146315,-0.5810308760864331,1.4792060374096792
65,3.109899000886583,2.991165850504019,-0.49635980096338667,-0.5823027941900626,1.4883370386170305
66,3.0901641710700742,2.972380692237259,-0.4999972521745767,-0.5835432821333386,1.4972734198405298
67,3.0712597433332967,2.954380069853989,-0.5035606597100254,-0.5847532365577907,1.5060193546490568
68,3.053150772214508,2.9371311043972588,-0.5070514317903525,-0.5859335231927311,1.5145789258016267
69,3.0358037848823813,2.9206022986985456,-0.5104709551957344,-0.5870849781262903,1.522956127290299
70,3.0191867188427333,2.9047634790739663,-0.5138205952838186,-0.5882084090176465,1.5311548663337449
71,3.0032688623043367,2.889585739500934,-0.5171016960298818,-0.5893045962533493,1.53917896532283
72,2.988020797087903,2.8750413881677526,-0.5203155800875846,-0.5903742940504834,1.5470321637195235
73,2.9734143439675935,2.8611038962934683,-0.5234635488687809,-0.5914182315092817,1.5547181199103983
74,2.9594225103395355,2.8477478491199086,-0.526546882640919,-0.592437113617667,1.5622404130159633
75,2.946019440116464,2.834948898982282,-0.5295668406406695,-0.5934316222100712,1.569602544657
76,2.933180365752249,2.822683720368859,-0.5325246612024819,-0.5944024168827694,1.5768079406790627
77,2.9208815623043756,2.8109299668842405,-0.5354215619008601,-0.5953501358678446,1.5838599528362531
78,2.909100303446474,2.7996662300345374,-0.5382587397052149,-0.5962753968678004,1.5907618604353486
79,2.8978148193470115,2.788871999756369,-0.541037371146216,-0.5971787978527319,1.5975168719413255
80,2.8870042563339546,2.778527626615042,-0.543758612492636,-0.5980609178218689,1.6041281265452887
81,2.8766486382686924,2.768614285600558,-0.5464235999377398,-0.5989223175312208,1.6105986956957927
82,2.866728829556001,2.7591139414532164,-0.5490334497943248,-0.5997635401889537,1.6169315845944956
83,2.857226499719966,2.750009315453561,-0.5515892586975792,-0.6005851121200618,1.623129733657075
84,2.848124089478913,2.741283853614279,-0.5540921038149726,-0.601387543401805,1.6291960199402904
85,2.8394047782552834,2.732921696214359,-0.5565430430624408,-0.6021713284713193,1.6351332585360656
86,2.8310524530592134,2.7249076486184105,-0.5589431153261794,-0.602936946706732,1.6409442039334232
87,2.8230516786872593,2.7172271533265384,-0.5612933406893943,-0.6036848629830467,1.646631551349092
88,2.815387669180213,2.709866263202494,-0.5635947206634085,-0.6044155282040016,1.6521979380275733
89,2.8080462604864103,2.7028116158301176,-0.5658482384225539,-0.6051293798110464,1.657645944511438
90,2.80101388427929,2.6960504089502146,-0.5680548590423219,-0.6058268422705184,1.6629780958825913
